modo,n_bodies,hilos,repeticion,kernel_s,total_s
tareas,500,2,10,0.079930,0.080330
tareas,500,4,1,0.092070,0.092618
tareas,500,4,2,0.044854,0.045078
tareas,500,4,3,0.082017,0.082587
tareas,500,4,4,0.052886,0.053123
tareas,500,4,5,0.061658,0.062093
tareas,500,4,6,0.065567,0.066032
tareas,500,4,7,0.073535,0.073863
tareas,500,4,8,0.069262,0.069608
tareas,500,4,9,0.049375,0.049725
tareas,500,4,10,0.725451,0.725730
tareas,500,8,1,0.509570,0.509928
tareas,500,8,2,0.584194,0.584507
tareas,500,8,3,0.335894,0.336428
tareas,500,8,4,0.574444,0.574774
tareas,500,8,5,0.563878,0.564207
tareas,500,8,6,0.462604,0.462906
tareas,500,8,7,0.459475,0.459812
tareas,500,8,8,0.510023,0.512427
tareas,500,8,9,0.552177,0.552489
tareas,500,8,10,0.439700,0.441802
tareas,2000,1,1,1.494215,1.494928
tareas,2000,1,2,1.694214,1.694959
tareas,2000,1,3,1.230651,1.231169
tareas,2000,1,4,1.625683,1.626833
tareas,2000,1,5,1.339607,1.340090
tareas,2000,1,6,1.417936,1.418545
tareas,2000,1,7,1.389076,1.389717
tareas,2000,1,8,1.171010,1.171462
tareas,2000,1,9,1.203731,1.204314
tareas,2000,1,10,1.353787,1.354448
tareas,2000,2,1,0.676728,0.677545
tareas,2000,2,2,0.851983,0.853227
tareas,2000,2,3,0.688597,0.689570
tareas,2000,2,4,0.669722,0.671013
tareas,2000,2,5,0.681661,0.682519
tareas,2000,2,6,0.829935,0.831048
tareas,2000,2,7,0.681163,0.682198
tareas,2000,2,8,0.756496,0.757292
tareas,2000,2,9,0.814842,0.816107
tareas,2000,2,10,0.586668,0.587500
tareas,2000,4,1,0.477745,0.479346
tareas,2000,4,2,0.432606,0.434011
tareas,2000,4,3,0.548655,0.550337
tareas,2000,4,4,0.815108,0.816798
tareas,2000,4,5,1.198061,1.200882
tareas,2000,4,6,0.689350,0.691183
tareas,2000,4,7,1.253544,1.260797
tareas,2000,4,8,0.660383,0.663273
tareas,2000,4,9,0.628784,0.631751
tareas,2000,4,10,1.028677,1.033222
tareas,2000,8,1,1.106092,1.109034
tareas,2000,8,2,1.361570,1.365685
tareas,2000,8,3,1.490322,1.492829
tareas,2000,8,4,1.555414,1.557934
tareas,2000,8,5,1.187181,1.190356
tareas,2000,8,6,1.742885,1.747428
tareas,2000,8,7,1.011020,1.014230
tareas,2000,8,8,1.840928,1.845271
tareas,2000,8,9,0.646440,0.649939
tareas,2000,8,10,1.359254,1.361352
tareas,5000,1,1,8.113099,8.114326
tareas,5000,1,2,8.129539,8.130719
tareas,5000,1,3,8.311975,8.313359
tareas,5000,1,4,7.223356,7.224487
tareas,5000,1,5,7.505183,7.506448
tareas,5000,1,6,8.248353,8.249728
tareas,5000,1,7,8.204780,8.205924
tareas,5000,1,8,7.903986,7.905116
tareas,5000,1,9,7.361924,7.363206
tareas,5000,1,10,8.253227,8.254569
tareas,5000,2,1,3.934932,3.936795
tareas,5000,2,2,3.999053,4.000977
tareas,5000,2,3,4.343251,4.345565
tareas,5000,2,4,4.107059,4.109500
tareas,5000,2,5,4.451361,4.454111
tareas,5000,2,6,4.106900,4.109314
tareas,5000,2,7,4.805786,4.807998
tareas,5000,2,8,4.806858,4.809771
tareas,5000,2,9,4.690687,4.693591
tareas,5000,2,10,4.323739,4.326025
tareas,5000,4,1,2.846871,2.851788
tareas,5000,4,2,3.997034,4.002955
tareas,5000,4,3,3.579710,3.585229
tareas,5000,4,4,4.279128,4.286906
tareas,5000,4,5,3.986677,3.992373
tareas,5000,4,6,3.500751,3.506300
tareas,5000,4,7,3.568987,3.575129
tareas,5000,4,8,3.822133,3.827022
tareas,5000,4,9,3.324461,3.330250
tareas,5000,4,10,3.517098,3.522935
tareas,5000,8,1,4.779198,4.785919
tareas,5000,8,2,5.230010,5.237007
tareas,5000,8,3,4.085378,4.092120
tareas,5000,8,4,4.101952,4.111883
tareas,5000,8,5,4.152078,4.158525
tareas,5000,8,6,4.355762,4.363084
tareas,5000,8,7,3.982623,3.990386
tareas,5000,8,8,4.601794,4.610313
tareas,5000,8,9,4.906877,4.911834
tareas,5000,8,10,4.680770,4.686789
tareas,10000,1,1,29.805470,29.807402
tareas,10000,1,2,30.173137,30.175031
tareas,10000,1,3,28.747283,28.749105
tareas,10000,1,4,29.183986,29.186328
tareas,10000,1,5,28.038064,28.040428
tareas,10000,1,6,29.960055,29.962276
tareas,10000,1,7,27.988460,27.990794
tareas,10000,1,8,28.525345,28.527395
tareas,10000,1,9,28.068222,28.070391
tareas,10000,1,10,29.825152,29.827221
tareas,10000,2,1,16.402118,16.405893
tareas,10000,2,2,15.115357,15.118445
tareas,10000,2,3,16.058261,16.061583
tareas,10000,2,4,14.868927,14.872772
tareas,10000,2,5,15.985816,15.989510
tareas,10000,2,6,15.224006,15.227859
tareas,10000,2,7,16.368552,16.371899
tareas,10000,2,8,15.826010,15.830045
tareas,10000,2,9,16.924137,16.927504
tareas,10000,2,10,15.364812,15.368973
tareas,10000,4,1,13.443887,13.454838
tareas,10000,4,2,11.965964,11.976384
tareas,10000,4,3,11.622875,11.631950
tareas,10000,4,4,13.678399,13.690184
tareas,10000,4,5,11.895154,11.906141
tareas,10000,4,6,12.549393,12.559597
tareas,10000,4,7,11.480121,11.489496
tareas,10000,4,8,11.753726,11.764686
tareas,10000,4,9,13.353328,13.362685
tareas,10000,4,10,11.727760,11.738295
tareas,10000,8,1,12.073973,12.096645
tareas,10000,8,2,11.471375,11.487404
tareas,10000,8,3,11.614195,11.642735
tareas,10000,8,4,11.915184,11.934183
tareas,10000,8,5,11.148746,11.169639
tareas,10000,8,6,11.365580,11.383154
tareas,10000,8,7,12.215046,12.230909
tareas,10000,8,8,11.722480,11.741009
tareas,10000,8,9,11.351718,11.365782
tareas,10000,8,10,10.833541,10.849713
